code,date,pct_float
002106,2010-01-04,0.000369985945
000665,2010-01-04,0.04557742638
000521,2010-01-04,0.284014946071
600644,2010-01-05,0.246656051483
600988,2010-01-06,0.369128337281
600708,2010-01-08,0.000378890423
000410,2010-01-08,0.000577103106
600745,2010-01-08,0.012665835576
601628,2010-01-11,0.920762714103
600081,2010-01-11,0.55
600425,2010-01-11,0.337024258504
002103,2010-01-11,0.422330794158
600223,2010-01-11,0.072477517688
002160,2010-01-11,0.272727272727
002104,2010-01-11,0.124276737535
600667,2010-01-11,0.14497445824
600479,2010-01-12,0.168174052028
002106,2010-01-12,0.254763906604
000957,2010-01-12,0.124996560954
002156,2010-01-12,0.027908557306
000628,2010-01-12,0.003224170446
600807,2010-01-12,0.006562085021
002206,2010-01-12,0.118299445471
600997,2010-01-13,0.078318736649
002105,2010-01-13,0.512835820896
000552,2010-01-14,0.005189195015
000859,2010-01-14,0.043482802018
600599,2010-01-15,0.423937301587
601888,2010-01-15,0.2
600582,2010-01-15,0.518958629893
002197,2010-01-18,0.156327851667
600749,2010-01-18,0.107416363636
600831,2010-01-18,0.079665122416
000421,2010-01-19,0.200666486014
600826,2010-01-19,0.425026453831
000516,2010-01-19,0.00254409616
000790,2010-01-19,0.046347128043
000661,2010-01-20,0.165828350387
600258,2010-01-20,0.501478824546
000718,2010-01-20,0.000550951161
600259,2010-01-20,0.107211092638
002301,2010-01-21,0.2
002300,2010-01-21,0.2
002299,2010-01-21,0.2
000153,2010-01-21,0.075636282424
600039,2010-01-21,0.257925657895
600711,2010-01-22,0.400352853533
000504,2010-01-22,0.394694376454
600777,2010-01-25,0.212333957592
600645,2010-01-25,0.216727980832
600227,2010-01-25,0.102481612225
002108,2010-01-25,0.141933333333
002206,2010-01-25,0.003306392359
000586,2010-01-25,0.033927814615
600369,2010-01-25,0.017979028619
600737,2010-01-25,0.395676673126
600721,2010-01-25,0.126747067118
000049,2010-01-26,0.478665694837
601002,2010-01-26,0.591994258399
002111,2010-01-26,0.116408053109
600528,2010-01-27,0.114035087719
600173,2010-01-28,0.000767680562
600540,2010-01-28,0.381532364234
000425,2010-01-29,0.002103464983
600062,2010-01-29,0.00733126954
600540,2010-01-29,0.102704245541
600643,2010-01-29,0.054241979458
000609,2010-01-29,0.254365879234
000402,2010-01-29,0.033723044562
300022,2010-02-01,0.2
300006,2010-02-01,0.2
300017,2010-02-01,0.2
300004,2010-02-01,0.2
300010,2010-02-01,0.2
000736,2010-02-01,0.587600783018
300015,2010-02-01,0.2
300001,2010-02-01,0.2
300027,2010-02-01,0.2
600158,2010-02-01,0.041763783165
300002,2010-02-01,0.2
300014,2010-02-01,0.2
300003,2010-02-01,0.2
300012,2010-02-01,0.2
300025,2010-02-01,0.2
300026,2010-02-01,0.2
300008,2010-02-01,0.2
300011,2010-02-01,0.2
300019,2010-02-01,0.2
300009,2010-02-01,0.2
300007,2010-02-01,0.2
300024,2010-02-01,0.2
300013,2010-02-01,0.2
300018,2010-02-01,0.2
300005,2010-02-01,0.2
300020,2010-02-01,0.2
000557,2010-02-02,0.00571853362
000514,2010-02-02,0.641131575743
300016,2010-02-02,0.2
600778,2010-02-03,0.003776424592
300021,2010-02-03,0.2
002302,2010-02-03,0.2
002303,2010-02-03,0.2
600141,2010-02-04,0.02380952381
000767,2010-02-04,0.060500434346
601166,2010-02-05,0.204
600119,2010-02-05,0.162654521796
600266,2010-02-05,0.026990553306
002210,2010-02-05,0.031587259805
000009,2010-02-05,0.001168426605
002112,2010-02-08,0.281711544612
600612,2010-02-08,0.150300949761
002305,2010-02-08,0.2
002167,2010-02-08,0.081648122001
002200,2010-02-08,0.080145543549
002304,2010-02-08,0.20000311116
600985,2010-02-09,0.070160778413
000837,2010-02-10,0.266565921413
000592,2010-02-10,0.287192481224
000532,2010-02-10,0.07677658627
000656,2010-02-10,0.03913339127
600212,2010-02-10,0.003908561448
002306,2010-02-11,0.2
600495,2010-02-11,0.318521952189
002307,2010-02-11,0.2
000401,2010-02-12,1.2131689e-05
600356,2010-02-12,0.378571428571
002183,2010-02-12,0.412344976494
600592,2010-02-22,0.313888
600999,2010-02-22,0.199999642445
002122,2010-02-22,0.268817204301
002115,2010-02-22,0.314729648767
600477,2010-02-22,0.083313854642
600549,2010-02-22,0.012628669462
002194,2010-02-22,0.0
600223,2010-02-22,0.026138605448
600499,2010-02-22,0.014759830334
002192,2010-02-22,0.029170732593
601169,2010-02-24,6.5882464e-05
002114,2010-02-24,0.610847855884
000999,2010-02-25,0.025095680625
000601,2010-02-25,0.053453878828
000887,2010-02-25,0.276562958976
000063,2010-02-26,0.000476255127
600650,2010-02-26,0.403076274501
601318,2010-03-01,0.179638406528
601005,2010-03-01,0.677824267782
600588,2010-03-01,0.205288075033
600288,2010-03-01,0.245238095238
600480,2010-03-01,0.335
002182,2010-03-01,0.175824278871
002310,2010-03-01,0.2
002308,2010-03-01,0.2
002309,2010-03-01,0.2
000539,2010-03-01,0.000540967524
002311,2010-03-01,0.2
000709,2010-03-01,0.000252568068
002119,2010-03-02,0.350514361865
600101,2010-03-02,0.200722454621
600760,2010-03-02,0.062581328173
000601,2010-03-02,0.00860536464
002312,2010-03-03,0.2
002313,2010-03-03,0.2
002314,2010-03-03,0.199617061148
600615,2010-03-03,0.176835269625
002117,2010-03-03,0.354090909091
601003,2010-03-03,0.840002697057
600522,2010-03-04,0.155858891594
600800,2010-03-04,0.208446291767
002108,2010-03-05,0.124489543373
000626,2010-03-05,0.543364549206
002120,2010-03-08,0.355711367046
600525,2010-03-08,0.297608095642
002121,2010-03-08,0.204953495852
000637,2010-03-08,0.142330705627
000409,2010-03-09,0.017098754991
002315,2010-03-09,0.2
002316,2010-03-09,0.2
000507,2010-03-09,0.186545692745
600892,2010-03-10,0.467453141038
600377,2010-03-10,0.011263169473
000545,2010-03-10,0.046524845564
600773,2010-03-10,0.136483735867
600369,2010-03-11,0.354619949552
002318,2010-03-11,0.2
000722,2010-03-11,0.264440701018
002319,2010-03-11,0.2
002317,2010-03-11,0.2
600505,2010-03-12,0.070683481111
600066,2010-03-12,0.060714560104
600232,2010-03-12,0.388851903291
600482,2010-03-12,0.346871513327
000557,2010-03-15,0.004567032438
600135,2010-03-15,0.138850826711
000600,2010-03-15,0.400949981968
601989,2010-03-16,0.4
600722,2010-03-16,0.425121731289
000790,2010-03-16,0.240960862951
002321,2010-03-16,0.2
000429,2010-03-16,0.003947908055
002320,2010-03-16,0.2
000410,2010-03-17,0.001243894757
600481,2010-03-17,0.004332888002
002324,2010-03-18,0.2
600643,2010-03-18,0.000617402221
002323,2010-03-18,0.2
002322,2010-03-18,0.2
000928,2010-03-19,0.503470885237
000739,2010-03-19,0.184671259679
000564,2010-03-19,0.00184093225
000756,2010-03-19,0.160605128793
002326,2010-03-22,0.2
600238,2010-03-22,0.052117271802
600462,2010-03-22,0.257379444715
000521,2010-03-23,0.010559059182
000426,2010-03-23,0.038773714151
600622,2010-03-23,0.120234382401
000068,2010-03-23,0.220908502528
000428,2010-03-23,0.415816725814
300032,2010-03-25,0.2
601139,2010-03-25,0.2
000731,2010-03-25,0.044165410316
300029,2010-03-25,0.2
300033,2010-03-25,0.2
000878,2010-03-25,0.197903240551
300036,2010-03-25,0.2
300035,2010-03-25,0.2
000880,2010-03-25,0.0222000222
